code_com,filiere,lambert_x,lambert_y
22084,Installation solaire photovoltaïque,"306509,00","6824626,00"
22084,Unité de méthanisation,"306158,70","6824993,49"
22087,Chaufferie bois,"230410,00","6817068,00"
22087,Eolienne,"229829,00","6816607,00"
22087,Eolienne,"230100,00","6816493,00"
22087,Eolienne,"230203,00","6816938,00"
22087,Eolienne,"230371,00","6816377,00"
22087,Eolienne,"230546,00","6816809,00"
22087,Eolienne,"230648,00","6816263,00"
22087,Eolienne,"230727,00","6815961,00"
22087,Eolienne,"230808,00","6815670,00"
22087,Eolienne,"230859,00","6816692,00"
22087,Eolienne,"230900,00","6815398,00"
22087,Eolienne,"230960,00","6815115,00"
22087,Eolienne,"232717,00","6814516,00"
22087,Eolienne,"232868,00","6814898,00"
22087,Eolienne,"233023,00","6814395,00"
22087,Eolienne,"233175,00","6814776,00"
22087,Installation solaire photovoltaïque,"229221,00","6817009,00"
22087,Installation solaire photovoltaïque,"229433,00","6817170,00"
22087,Installation solaire photovoltaïque,"232944,00","6813924,00"
22087,Unité de méthanisation,"229433,40","6817069,66"
22088,Installation solaire photovoltaïque,"239739,00","6830468,00"
22090,Installation fossile,"232888,95","6871276,47"
22092,Eolienne,"244118,58","6828823,50"
22092,Installation solaire photovoltaïque,"246228,00","6827318,00"
22092,Installation solaire photovoltaïque,"246228,00","6827518,00"
22092,Installation solaire photovoltaïque,"246228,40","6827417,75"
22092,Unité de méthanisation,"244234,71","6826446,40"
22093,Chaufferie bois,"292413,00","6835109,00"
22093,Chaufferie bois,"292513,00","6835109,00"
22093,Chaufferie bois,"292513,00","6835209,00"
22093,Chaufferie bois,"292613,00","6835109,00"
22093,Chaufferie bois,"294335,00","6833897,00"
22093,Chaufferie bois,"297015,00","6833197,00"
22093,Eolienne,"297688,25","6835261,00"
22093,Eolienne,"297760,00","6834967,00"
22093,Eolienne,"297943,00","6834456,00"
22093,Eolienne,"298067,00","6834238,00"
22093,Eolienne,"298165,70","6835368,50"
22093,Eolienne,"298586,88","6834741,50"
22093,Incinérateur,"289257,63","6840985,53"
22093,Installation hydroélectrique,"285709,30","6837595,52"
22093,Installation solaire photovoltaïque,"287131,00","6830330,00"
22093,Installation solaire photovoltaïque,"287979,00","6830148,00"
22093,Installation solaire photovoltaïque,"288496,00","6831707,00"
22093,Installation solaire photovoltaïque,"289029,00","6841567,00"
22093,Installation solaire photovoltaïque,"292480,00","6829183,00"
22093,Installation solaire photovoltaïque,"292513,25","6835009,10"
22093,Unité de méthanisation,"292547,42","6834806,69"
22093,Unité de méthanisation,"293485,40","6836833,35"
22093,Unité de méthanisation,"295818,37","6835505,09"
22097,Installation solaire photovoltaïque,"316979,00","6826391,00"
22097,Installation solaire photovoltaïque,"316979,00","6826591,00"
22098,Installation solaire photovoltaïque,"290168,70","6827573,75"
22098,Installation solaire photovoltaïque,"291762,00","6828231,00"
22099,Eolienne,"261514,00","6822462,00"
22099,Eolienne,"261762,00","6822758,00"
22099,Eolienne,"262003,00","6822931,00"
22099,Eolienne,"262351,00","6823098,00"
22099,Eolienne,"262573,00","6823229,00"
22099,Eolienne,"262761,00","6823024,00"
22101,Installation solaire photovoltaïque,"236060,00","6864857,00"
22101,Installation solaire photovoltaïque,"237189,00","6866670,00"
22101,Unité de méthanisation,"235889,76","6868363,88"
22103,Chaufferie bois,"330990,00","6839994,00"
22103,Installation solaire photovoltaïque,"330098,05","6840043,40"
22106,Installation solaire photovoltaïque,"277923,00","6836582,00"
22109,Installation solaire photovoltaïque,"261122,50","6862091,80"
22111,Installation solaire photovoltaïque,"253358,00","6878312,00"
22112,Installation solaire photovoltaïque,"257593,00","6855816,00"
22113,Chaufferie bois,"224622,00","6868690,00"
22113,Chaufferie bois,"224622,00","6868890,00"
22113,Chaufferie bois,"225020,00","6866461,00"
22113,Chaufferie bois,"226321,00","6869744,00"
22113,Chaufferie bois,"226321,00","6869944,00"
22113,Chaufferie bois,"273489,00","6839696,00"
22113,Installation solaire photovoltaïque,"224622,00","6868890,00"
22113,Installation solaire photovoltaïque,"225378,00","6870319,00"
22113,Installation solaire photovoltaïque,"225531,00","6868412,00"
22113,Installation solaire photovoltaïque,"226188,00","6867282,00"
22113,Installation solaire photovoltaïque,"227394,00","6865833,00"
22113,Installation solaire photovoltaïque,"227583,00","6867619,00"
22113,Installation solaire photovoltaïque,"229305,00","6865887,00"
22114,Installation solaire photovoltaïque,"308338,00","6804342,00"
22114,Unité de méthanisation,"308589,60","6808265,02"
22115,Eolienne,"239304,53","6824972,50"
22115,Eolienne,"239394,94","6825245,00"
22115,Eolienne,"239485,12","6825521,50"
22115,Eolienne,"239573,31","6825795,00"
22115,Eolienne,"241154,11","6824772,00"
22115,Eolienne,"241233,64","6825747,50"
22115,Eolienne,"241262,70","6825100,00"
22115,Eolienne,"241282,33","6826048,50"
22115,Eolienne,"241335,44","6826350,50"
22115,Eolienne,"241366,94","6825427,00"
22115,Installation hydroélectrique,"237257,52","6823543,12"
22115,Installation solaire photovoltaïque,"240646,00","6823893,00"
22116,Installation solaire photovoltaïque,"253108,00","6841591,00"
22116,Installation solaire photovoltaïque,"253943,95","6838961,20"
22117,Chaufferie bois,"265683,75","6850456,85"
22117,Installation solaire photovoltaïque,"263767,00","6848856,00"
22118,Installation solaire photovoltaïque,"330359,95","6828788,10"
22118,Installation solaire photovoltaïque,"330518,00","6829768,00"
22121,Chaufferie bois,"258595,00","6852923,00"
22122,Installation solaire photovoltaïque,"291125,85","6804740,45"
22122,Unité de méthanisation,"288817,02","6804942,56"
22127,Installation fossile,"249954,02","6871791,50"
22127,Installation solaire photovoltaïque,"251939,00","6873490,00"
22127,Installation solaire photovoltaïque,"252136,95","6873359,05"
22127,Installation solaire photovoltaïque,"252137,00","6873459,00"
22128,Installation solaire photovoltaïque,"222260,00","6823250,00"
22128,Installation solaire photovoltaïque,"227386,00","6823392,00"
22128,Unité de méthanisation,"222259,96","6823149,72"
22129,Installation hydroélectrique,"226592,45","6843044,05"
22131,Chaufferie bois,"221505,00","6843745,00"
22131,Chaufferie bois,"221558,00","6843417,00"
22132,Eolienne,"219341,95","6835922,00"
22132,Eolienne,"219505,72","6836175,00"
22132,Eolienne,"219723,05","6836501,00"
22132,Eolienne,"219889,30","6836789,50"
22132,Eolienne,"220073,48","6837088,50"
22132,Installation solaire photovoltaïque,"215914,00","6838732,00"
22132,Installation solaire photovoltaïque,"216672,00","6838171,00"
